id,name,address,suburb,postcode,section_id,category,priority,status,phone,website,lat,lng,notes,visit_notes,source,rating,place_id,updated_at,google_maps_url
0f38f7d4d789defd,Pino's Fresh Produce,VIC,,,inner-east,greengrocer,medium,prospect,,,-37.8459327,144.9929051,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:07.406839+00:00,https://www.google.com/maps/search/?api=1&query=Pino%27s+Fresh+Produce+VIC+Melbourne
df5fb7c2d96c85b6,Prahran Market,163 Commercial Road VIC 3141,,3141,inner-east,marketplace,medium,prospect,,https://www.prahranmarket.com.au/,-37.8460646,144.9925928,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:22.543522+00:00,https://www.google.com/maps/search/?api=1&query=Prahran+Market+163+Commercial+Road+VIC+3141+Melbourne
de3985d6f9bf1fc2,Providore,722 Glenferrie Road VIC,,,inner-east,deli,medium,prospect,,,-37.8195972,145.0361977,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:25.226370+00:00,https://www.google.com/maps/search/?api=1&query=Providore+722+Glenferrie+Road+VIC+Melbourne
66b92d6ef4ecc768,Reliable Fruit,VIC,,,inner-east,greengrocer,medium,prospect,,,-37.8458345,144.9927182,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:07.312770+00:00,https://www.google.com/maps/search/?api=1&query=Reliable+Fruit+VIC+Melbourne
204c08c6911939f7,Richmond Swan Street specialty foods,"Swan Street, Richmond VIC 3121",Richmond,3121,inner-east,gourmet strip,medium,prospect,,,-37.8235,144.9975,Inner-east independents,,seed,,,2026-09-17T13:41:20.279367+00:00,https://www.google.com/maps/search/?api=1&query=Richmond+Swan+Street+specialty+foods+Swan+Street%2C+Richmond+VIC+3121+Melbourne
7a158335ffd86185,Salzano Delicatessen,73 Doncaster Road VIC,,,inner-east,deli,medium,prospect,+61 3 9859 0588,,-37.7926114,145.0712586,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:04.842823+00:00,https://www.google.com/maps/search/?api=1&query=Salzano+Delicatessen+73+Doncaster+Road+VIC+Melbourne
4f1f68c871fb408f,Signorelli Fresh,433 Whitehorse Road Balwyn VIC 3103,Balwyn,3103,inner-east,greengrocer,medium,prospect,,,-37.8131298,145.0848285,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:55.366593+00:00,https://www.google.com/maps/search/?api=1&query=Signorelli+Fresh+433+Whitehorse+Road+Balwyn+VIC+3103+Melbourne
abc22184e15a8e09,Signorelli's,79 Doncaster Road Balwyn North VIC 3104,Balwyn North,3104,inner-east,greengrocer,medium,prospect,,,-37.7926631,145.0714684,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:04.684136+00:00,https://www.google.com/maps/search/?api=1&query=Signorelli%27s+79+Doncaster+Road+Balwyn+North+VIC+3104+Melbourne
673ed9d19f906671,Smith Street Alimentari,302 Smith Street Collingwood VIC 3066,Collingwood,3066,inner-east,deli,medium,prospect,,,-37.800176,144.984232,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:52.929124+00:00,https://www.google.com/maps/search/?api=1&query=Smith+Street+Alimentari+302+Smith+Street+Collingwood+VIC+3066+Melbourne
db9c1852a0d45563,South Yarra Finer Fruit,123B Park Street VIC,,,inner-east,greengrocer,medium,prospect,+61 3 9866 2746,,-37.8343193,144.9823458,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:51.550044+00:00,https://www.google.com/maps/search/?api=1&query=South+Yarra+Finer+Fruit+123B+Park+Street+VIC+Melbourne
86249698d0add563,Stan's Deli,248b Glenferrie Road VIC 3144,,3144,inner-east,deli,medium,prospect,,,-37.8578573,145.0294203,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:13.676050+00:00,https://www.google.com/maps/search/?api=1&query=Stan%27s+Deli+248b+Glenferrie+Road+VIC+3144+Melbourne
02216c68de9d1208,TDP Marts Abbotsford,313 Victoria Street Abbotsford VIC 3067,Abbotsford,3067,inner-east,greengrocer,medium,prospect,,,-37.8093939,144.9959035,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:19.675084+00:00,https://www.google.com/maps/search/?api=1&query=TDP+Marts+Abbotsford+313+Victoria+Street+Abbotsford+VIC+3067+Melbourne
f5c088be6002ed3e,The Cheese Shop Deli,VIC,,,inner-east,deli,medium,prospect,,,-37.8462677,144.9925364,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:06.807481+00:00,https://www.google.com/maps/search/?api=1&query=The+Cheese+Shop+Deli+VIC+Melbourne
